generation,pop1,pop2,clustering,modularity,threshold
0,1,17,0,0,0.01
0,1,17,0,0,0.1
0,1,17,0,0,0.3
0,1,17,0,0,0.5
0,1,18,0,0,0.01
0,1,18,0,0,0.1
0,1,18,0,0,0.3
0,1,18,0,0,0.5
0,1,19,0,0,0.01
0,1,19,0,0,0.1
0,1,19,0,0,0.3
0,1,19,0,0,0.5
0,2,3,0,0,0.01
0,2,3,0,0,0.1
0,2,3,0,0,0.3
0,2,3,0,0,0.5
0,2,4,0,0,0.01
0,2,4,0,0,0.1
0,2,4,0,0,0.3
0,2,4,0,0,0.5
0,2,5,0,0,0.01
0,2,5,0,0,0.1
0,2,5,0,0,0.3
0,2,5,0,0,0.5
0,2,6,0,0,0.01
0,2,6,0,0,0.1
0,2,6,0,0,0.3
0,2,6,0,0,0.5
0,2,7,0,0.5,0.01
0,2,7,0,0,0.1
0,2,7,0,0,0.3
0,2,7,0,0,0.5
0,2,8,0,0,0.01
0,2,8,0,0,0.1
0,2,8,0,0,0.3
0,2,8,0,0,0.5
0,2,9,0,0,0.01
0,2,9,0,0,0.1
0,2,9,0,0,0.3
0,2,9,0,0,0.5
0,2,10,0,0,0.01
0,2,10,0,0,0.1
0,2,10,0,0,0.3
0,2,10,0,0,0.5
0,2,11,0,0,0.01
0,2,11,0,0,0.1
0,2,11,0,0,0.3
0,2,11,0,0,0.5
0,2,12,0,0,0.01
0,2,12,0,0,0.1
0,2,12,0,0,0.3
0,2,12,0,0,0.5
0,2,13,0,0,0.01
0,2,13,0,0,0.1
0,2,13,0,0,0.3
0,2,13,0,0,0.5
0,2,14,0,0,0.01
0,2,14,0,0,0.1
0,2,14,0,0,0.3
0,2,14,0,0,0.5
0,2,15,0,0.5,0.01
0,2,15,0,0,0.1
0,2,15,0,0,0.3
0,2,15,0,0,0.5
0,2,16,0,0,0.01
0,2,16,0,0,0.1
0,2,16,0,0,0.3
0,2,16,0,0,0.5
0,2,17,0,0,0.01
0,2,17,0,0,0.1
0,2,17,0,0,0.3
0,2,17,0,0,0.5
0,2,18,0,0,0.01
0,2,18,0,0,0.1
0,2,18,0,0,0.3
0,2,18,0,0,0.5
0,2,19,0,0,0.01
0,2,19,0,0,0.1
0,2,19,0,0,0.3
0,2,19,0,0,0.5
0,3,4,0,0,0.01
0,3,4,0,0,0.1
0,3,4,0,0,0.3
0,3,4,0,0,0.5
0,3,5,0,0,0.01
0,3,5,0,0,0.1
0,3,5,0,0,0.3
0,3,5,0,0,0.5
0,3,6,0,0,0.01
0,3,6,0,0,0.1
0,3,6,0,0,0.3
0,3,6,0,0,0.5
0,3,7,0,0,0.01
0,3,7,0,0,0.1
0,3,7,0,0,0.3
0,3,7,0,0,0.5
0,3,8,0,0.5,0.01
0,3,8,0,0,0.1
0,3,8,0,0,0.3
0,3,8,0,0,0.5
0,3,9,0,0,0.01
0,3,9,0,0,0.1
0,3,9,0,0,0.3
0,3,9,0,0,0.5
0,3,10,0,0,0.01
0,3,10,0,0,0.1
0,3,10,0,0,0.3
0,3,10,0,0,0.5
0,3,11,0,0,0.01
0,3,11,0,0,0.1
0,3,11,0,0,0.3
0,3,11,0,0,0.5
0,3,12,0,0,0.01
0,3,12,0,0,0.1
0,3,12,0,0,0.3
0,3,12,0,0,0.5
0,3,13,0,0,0.01
0,3,13,0,0,0.1
0,3,13,0,0,0.3
0,3,13,0,0,0.5
0,3,14,0,0,0.01
0,3,14,0,0,0.1
0,3,14,0,0,0.3
0,3,14,0,0,0.5
0,3,15,0,0,0.01
0,3,15,0,0,0.1
0,3,15,0,0,0.3
0,3,15,0,0,0.5
0,3,16,0,0.5,0.01
0,3,16,0,0,0.1
0,3,16,0,0,0.3
0,3,16,0,0,0.5
0,3,17,0,0,0.01
0,3,17,0,0,0.1
0,3,17,0,0,0.3
0,3,17,0,0,0.5
0,3,18,0,0,0.01
0,3,18,0,0,0.1
0,3,18,0,0,0.3
0,3,18,0,0,0.5
0,3,19,0,0,0.01
0,3,19,0,0,0.1
0,3,19,0,0,0.3
0,3,19,0,0,0.5
0,4,5,0,0,0.01
0,4,5,0,0,0.1
0,4,5,0,0,0.3
0,4,5,0,0,0.5
0,4,6,0,0,0.01
0,4,6,0,0,0.1
0,4,6,0,0,0.3
0,4,6,0,0,0.5
0,4,7,0,0,0.01
0,4,7,0,0,0.1
0,4,7,0,0,0.3
0,4,7,0,0,0.5
0,4,8,0,0,0.01
0,4,8,0,0,0.1
0,4,8,0,0,0.3
0,4,8,0,0,0.5
0,4,9,0,0,0.01
0,4,9,0,0,0.1
0,4,9,0,0,0.3
0,4,9,0,0,0.5
0,4,10,0,0,0.01
0,4,10,0,0,0.1
0,4,10,0,0,0.3
0,4,10,0,0,0.5
0,4,11,0,0,0.01
0,4,11,0,0,0.1
0,4,11,0,0,0.3
0,4,11,0,0,0.5
0,4,12,0,0,0.01
0,4,12,0,0,0.1
0,4,12,0,0,0.3
0,4,12,0,0,0.5
0,4,13,0,0.666667,0.01
0,4,13,0,0,0.1
0,4,13,0,0,0.3
0,4,13,0,0,0.5
0,4,14,0,0,0.01
0,4,14,0,0,0.1
0,4,14,0,0,0.3
0,4,14,0,0,0.5
0,4,15,0,0,0.01
0,4,15,0,0,0.1
