generation,populationA,populationB,ct,prop_of_popB_from_popA
100,4,18,1,0.00460829
100,5,2,1,0.00483092
100,5,12,1,0.00465116
100,5,19,1,0.0047619
100,6,0,1,0.00458716
100,6,7,1,0.00469484
100,6,8,1,0.00469484
100,6,10,1,0.0046729
100,6,11,1,0.00469484
100,6,13,1,0.00465116
100,6,15,1,0.00473934
100,7,4,1,0.0046729
100,7,6,1,0.00473934
100,7,10,1,0.0046729
100,7,11,1,0.00469484
100,7,13,1,0.00465116
100,7,15,1,0.00473934
100,8,0,1,0.00458716
100,8,6,1,0.00473934
100,8,9,1,0.0046729
100,8,10,1,0.0046729
100,9,8,1,0.00469484
100,9,15,1,0.00473934
100,10,0,1,0.00458716
100,10,6,1,0.00473934
100,10,7,1,0.00469484
100,10,8,1,0.00469484
100,10,11,1,0.00469484
100,10,13,1,0.00465116
100,11,0,1,0.00458716
100,11,6,1,0.00473934
100,11,7,1,0.00469484
100,11,10,1,0.0046729
100,11,12,1,0.00465116
100,11,13,1,0.00465116
100,12,2,1,0.00483092
100,12,5,1,0.00471698
100,12,11,1,0.00469484
100,12,19,1,0.0047619
100,13,0,1,0.00458716
100,13,6,1,0.00473934
100,13,7,1,0.00469484
100,13,10,1,0.0046729
100,13,11,1,0.00469484
100,13,12,1,0.00465116
100,14,4,1,0.0046729
100,14,15,1,0.00473934
100,14,18,1,0.00460829
100,15,6,1,0.00473934
100,15,7,1,0.00469484
100,15,9,1,0.0046729
100,16,3,1,0.00456621
100,16,17,1,0.00469484
100,17,3,1,0.00456621
100,17,16,1,0.0047619
100,18,4,1,0.0046729
100,18,14,1,0.004329
100,18,16,1,0.0047619
100,18,17,1,0.00469484
100,19,5,1,0.00471698
100,19,12,1,0.00465116
120,0,6,1,0.00473934
120,0,8,1,0.0046729
120,0,10,1,0.00458716
120,0,11,1,0.00465116
120,0,13,1,0.0046729
120,2,5,1,0.00471698
120,2,12,1,0.00465116
120,3,16,1,0.0047619
120,3,17,1,0.00471698
120,4,7,1,0.00469484
120,4,14,1,0.00434783
120,4,18,1,0.00456621
120,5,2,1,0.00480769
120,5,12,1,0.00465116
120,5,19,1,0.00473934
120,6,0,1,0.00454545
120,6,7,1,0.00469484
120,6,8,1,0.0046729
120,6,10,1,0.00458716
120,6,11,1,0.00465116
120,6,13,1,0.0046729
120,6,15,1,0.00471698
120,7,4,1,0.00452489
120,7,6,1,0.00473934
120,7,10,1,0.00458716
120,7,11,1,0.00465116
120,7,13,1,0.0046729
120,7,15,1,0.00471698
120,8,6,1,0.00473934
120,8,9,1,0.00469484
120,8,10,1,0.00458716
120,9,8,1,0.0046729
120,9,15,1,0.00471698
120,10,0,1,0.00454545
120,10,6,1,0.00473934
120,10,7,1,0.00469484
120,10,8,1,0.0046729
120,10,11,1,0.00465116
120,10,13,1,0.0046729
120,11,0,1,0.00454545
120,11,6,1,0.00473934
120,11,7,1,0.00469484
120,11,10,1,0.00458716
120,11,12,1,0.00465116
120,11,13,1,0.0046729
120,12,2,1,0.00480769
120,12,5,1,0.00471698
120,12,11,1,0.00465116
120,12,13,1,0.0046729
120,12,19,1,0.00473934
120,13,0,1,0.00454545
120,13,6,1,0.00473934
120,13,7,1,0.00469484
120,13,10,1,0.00458716
120,13,11,1,0.00465116
120,13,12,1,0.00465116
120,14,4,1,0.00452489
120,14,15,1,0.00471698
120,14,18,1,0.00456621
120,15,6,1,0.00473934
120,15,7,1,0.00469484
120,15,9,1,0.00469484
120,16,3,1,0.00456621
120,16,17,1,0.00471698
120,17,3,1,0.00456621
120,17,16,1,0.0047619
120,18,4,1,0.00452489
120,18,14,1,0.00434783
120,18,16,1,0.0047619
120,18,17,1,0.00471698
120,19,5,1,0.00471698
120,19,12,1,0.00465116
140,0,6,1,0.00462963
140,0,8,1,0.00471698
140,0,10,1,0.00469484
140,0,11,1,0.00458716
140,0,13,1,0.00469484
140,2,5,1,0.00465116
140,2,12,1,0.00458716
140,3,16,1,0.00465116
140,3,17,1,0.00471698
140,4,7,1,0.00469484
140,4,14,1,0.00423729
140,4,18,1,0.00460829
140,5,2,1,0.00469484
140,5,12,1,0.00458716
140,5,19,1,0.00460829
140,6,0,1,0.00452489
140,6,7,1,0.00469484
140,6,8,1,0.00471698
140,6,9,1,0.00465116
140,6,10,1,0.00469484
140,6,11,1,0.00458716
140,6,13,1,0.00469484
140,6,15,1,0.00469484
140,7,4,1,0.00458716
140,7,6,1,0.00462963
140,7,10,1,0.00469484
140,7,11,1,0.00458716
140,7,13,1,0.00469484
140,7,15,1,0.00469484
140,8,6,1,0.00462963
140,8,9,1,0.00465116
140,8,10,1,0.00469484
140,9,8,1,0.00471698
140,9,15,1,0.00469484
140,10,0,1,0.00452489
140,10,6,1,0.00462963
140,10,7,1,0.00469484
140,10,8,1,0.00471698
140,10,11,1,0.00458716
140,10,13,1,0.00469484
140,11,0,1,0.00452489
140,11,6,1,0.00462963
140,11,7,1,0.00469484
140,11,10,1,0.00469484
140,11,12,1,0.00458716
140,11,13,1,0.00469484
140,12,2,1,0.00469484
140,12,5,1,0.00465116
140,12,11,1,0.00458716
140,12,13,1,0.00469484
140,12,19,1,0.00460829
140,13,0,1,0.00452489
140,13,6,1,0.00462963
140,13,7,1,0.00469484
140,13,10,1,0.00469484
140,13,11,1,0.00458716
140,14,4,1,0.00458716
140,14,15,1,0.00469484
140,14,18,1,0.00460829
140,15,6,1,0.00462963
140,15,7,1,0.00469484
140,15,9,1,0.00465116
140,16,3,1,0.00456621
140,16,17,1,0.00471698
140,16,18,1,0.00460829
140,17,3,1,0.00456621
140,17,16,1,0.00465116
140,18,4,1,0.00458716
140,18,14,1,0.00423729
140,18,16,1,0.00465116
140,18,17,1,0.00471698
140,19,5,1,0.00465116
140,19,12,1,0.00458716
160,0,6,1,0.00458716
160,0,8,1,0.00478469
160,0,10,1,0.00462963
160,0,11,1,0.00458716
160,0,13,1,0.00456621
160,2,5,1,0.0046729
160,2,12,1,0.00465116
160,3,16,1,0.00454545
160,3,17,1,0.00469484
160,4,7,1,0.00471698
160,4,14,1,0.0042735
160,4,18,1,0.00460829
160,5,2,1,0.00458716
160,5,12,1,0.00465116
160,5,19,1,0.00456621
160,6,0,1,0.00452489
160,6,7,1,0.00471698
