generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
260,9,0.140351,0.870087,0.550264,0.892,0.0403587,0.249344,
260,10,0.473608,0.800911,-1.42059e+229,0.876,0.0639269,0.570904,
260,11,0.520477,0.67888,-2.43148e+152,0.884,0.0361991,0.462527,
260,12,0.720633,0.58202,0.513372,0.884,0.0452489,0.442209,
260,13,0.537373,0.758616,1.15876,0.872,0.0504587,0.545178,
260,14,0.105908,0.4736,0.612544,0.94,0.00851064,0.132739,
260,15,0.186332,0.736918,0.633505,0.868,0.0230415,0.257032,
260,16,0.21655,0.135218,0.529523,0.9,0,0.484013,
260,17,0.324141,0.149675,-1.09969e+75,0.844,0,0.657692,
260,18,0.222321,0.386489,0.646318,0.864,0,0.323892,
260,19,0.902598,0.44995,0.583684,0.9,0.0311111,0.42682,
280,0,0.592845,0.844266,0.521523,0.884,0.0135747,0.544419,
280,1,0.857946,0.847252,0.808261,0.852,0,0.382113,
280,2,0.623564,0.384382,0.804476,0.904,0.0221239,0.638292,
280,3,0.297535,0.056713,0.538951,0.884,0.0226244,0.588274,
280,4,0.272656,0.477665,1.4271e+229,0.872,0.0412844,0.311938,
280,5,0.812169,0.479977,0.587544,0.916,0.00873362,0.448219,
280,6,0.392785,0.836079,0.745184,0.868,0.0875576,0.498376,
280,7,0.337396,0.648172,0.526888,0.876,0.0684932,0.419404,
280,8,0.368242,0.957155,-1.06438e+75,0.872,0.0183486,0.429147,
280,9,0.140351,0.870087,0.549168,0.892,0.0224215,0.249344,
280,10,0.473608,0.800911,0.474404,0.868,0.0921659,0.570904,
280,11,0.520477,0.67888,0.587512,0.892,0.0358744,0.462527,
280,12,0.720633,0.58202,1.19946e+152,0.896,0.0357143,0.442209,
280,13,0.537373,0.758616,0.960066,0.868,0.0552995,0.545178,
280,14,0.105908,0.4736,-2.98758e+75,0.932,0,0.132739,
280,15,0.186332,0.736918,-1.25551e+152,0.856,0.0654206,0.257032,
280,16,0.21655,0.135218,0.539599,0.896,0.0223214,0.484013,
280,17,0.324141,0.149675,0.641637,0.824,0.0291262,0.657692,
280,18,0.222321,0.386489,1.4271e+229,0.872,0.00458716,0.323892,
280,19,0.902598,0.44995,0.605527,0.9,0.0222222,0.42682,
300,0,0.592845,0.844266,1.41413e+229,0.88,0.0272727,0.544419,
300,1,0.857946,0.847252,-1.24967e+152,0.86,0,0.382113,
300,2,0.623564,0.384382,0.660592,0.904,0.0132743,0.638292,
300,3,0.297535,0.056713,0.530419,0.892,0.0134529,0.588274,
300,4,0.272656,0.477665,0.518827,0.872,0.0321101,0.311938,
300,5,0.812169,0.479977,-1.35855e+229,0.916,0.00436681,0.448219,
300,6,0.392785,0.836079,0.506279,0.88,0.0409091,0.498376,
300,7,0.337396,0.648172,1.05471e+75,0.88,0.0545455,0.419404,
300,8,0.368242,0.957155,0.46851,0.876,0.0502283,0.429147,
300,9,0.140351,0.870087,1.04993e+75,0.884,0.040724,0.249344,
300,10,0.473608,0.800911,0.583283,0.872,0.0550459,0.570904,
300,11,0.520477,0.67888,0.63736,0.908,0.0748899,0.462527,
300,12,0.720633,0.58202,0.460634,0.908,0.030837,0.442209,
300,13,0.537373,0.758616,-1.38888e+229,0.896,0.0491071,0.545178,
300,14,0.105908,0.4736,0.566937,0.936,0.0299145,0.132739,
300,15,0.186332,0.736918,0.546278,0.856,0.0841121,0.257032,
300,16,0.21655,0.135218,-1.01325e+75,0.916,0.0393013,0.484013,
300,17,0.324141,0.149675,0.511969,0.84,0.0619048,0.657692,
300,18,0.222321,0.386489,0.611037,0.872,0.0229358,0.323892,
300,19,0.902598,0.44995,0.465435,0.904,0.0353982,0.42682,
320,0,0.592845,0.844266,0.499188,0.88,0.0272727,0.544419,
320,1,0.857946,0.847252,0.527647,0.884,0,0.382113,
320,2,0.623564,0.384382,0.60241,0.904,0,0.638292,
320,3,0.297535,0.056713,0.742931,0.88,0.0181818,0.588274,
320,4,0.272656,0.477665,0.717396,0.888,0.0405405,0.311938,
320,5,0.812169,0.479977,0.570666,0.916,0.00436681,0.448219,
320,6,0.392785,0.836079,0.474888,0.888,0.0585586,0.498376,
320,7,0.337396,0.648172,0.644728,0.88,0.0409091,0.419404,
320,8,0.368242,0.957155,0.513228,0.884,0.0723982,0.429147,
320,9,0.140351,0.870087,-1.3951e+229,0.892,0.0044843,0.249344,
320,10,0.473608,0.800911,0.565613,0.88,0.0545455,0.570904,
320,11,0.520477,0.67888,2.84117e+229,0.876,0.0228311,0.462527,
320,12,0.720633,0.58202,1.08822e+218,0.908,0.0572687,0.442209,
320,13,0.537373,0.758616,-1.40773e+229,0.884,0.0678733,0.545178,
320,14,0.105908,0.4736,1.14331e+152,0.94,0.0212766,0.132739,
320,15,0.186332,0.736918,0.648094,0.864,0.0648148,0.257032,
320,16,0.21655,0.135218,0.581583,0.9,0.00888889,0.484013,
320,17,0.324141,0.149675,0.440146,0.844,0.0331754,0.657692,
320,18,0.222321,0.386489,0.66106,0.888,0,0.323892,
320,19,0.902598,0.44995,0.553767,0.9,0.0177778,0.42682,
340,0,0.592845,0.844266,0.740051,0.884,0.0588235,0.544419,
340,1,0.857946,0.847252,0.583889,0.904,0.0176991,0.382113,
340,2,0.623564,0.384382,0.501969,0.908,0.0352423,0.638292,
340,3,0.297535,0.056713,0.539965,0.892,0.0134529,0.588274,
340,4,0.272656,0.477665,0.522614,0.892,0.00896861,0.311938,
340,5,0.812169,0.479977,0.551265,0.896,0.0133929,0.448219,
340,6,0.392785,0.836079,0.482121,0.888,0.0540541,0.498376,
340,7,0.337396,0.648172,-1.43368e+229,0.868,0.0829493,0.419404,
340,8,0.368242,0.957155,1.23247e+152,0.872,0.00458716,0.429147,
340,9,0.140351,0.870087,-1.3827e+229,0.9,0.0266667,0.249344,
340,10,0.473608,0.800911,0.636369,0.884,0.0588235,0.570904,
340,11,0.520477,0.67888,0.631949,0.888,0.103604,0.462527,
340,12,0.720633,0.58202,0.634824,0.908,0.0881057,0.442209,
340,13,0.537373,0.758616,0.614179,0.896,0.00892857,0.545178,
340,14,0.105908,0.4736,1.32952e+229,0.936,0.00854701,0.132739,
340,15,0.186332,0.736918,0.459059,0.876,0.0547945,0.257032,
340,16,0.21655,0.135218,0.464402,0.912,0.0219298,0.484013,
340,17,0.324141,0.149675,0.552673,0.848,0.0424528,0.657692,
340,18,0.222321,0.386489,0.566585,0.888,0.00900901,0.323892,
340,19,0.902598,0.44995,0.577767,0.912,0.0131579,0.42682,
360,0,0.592845,0.844266,0.734552,0.872,0.0642202,0.544419,
360,1,0.857946,0.847252,0.693531,0.9,0,0.382113,
360,2,0.623564,0.384382,0.819378,0.916,0,0.638292,
360,3,0.297535,0.056713,0.577173,0.904,0.0309735,0.588274,
360,4,0.272656,0.477665,1.0452e+75,0.888,0.0405405,0.311938,
360,5,0.812169,0.479977,-1.0267e+75,0.904,0.00442478,0.448219,
360,6,0.392785,0.836079,0.427101,0.892,0.116592,0.498376,
360,7,0.337396,0.648172,0.513884,0.876,0.0273973,0.419404,
360,8,0.368242,0.957155,-1.42025e+229,0.876,0.0502283,0.429147,
360,9,0.140351,0.870087,0.5579,0.888,0,0.249344,
360,10,0.473608,0.800911,0.542706,0.88,0.0363636,0.570904,
360,11,0.520477,0.67888,0.475003,0.908,0.0660793,0.462527,
360,12,0.720633,0.58202,0.634072,0.916,0.0611354,0.442209,
360,13,0.537373,0.758616,0.482162,0.892,0.0403587,0.545178,
360,14,0.105908,0.4736,0.587206,0.936,0.017094,0.132739,
360,15,0.186332,0.736918,0.541472,0.896,0.0625,0.257032,
360,16,0.21655,0.135218,0.551435,0.904,0.0265487,0.484013,
360,17,0.324141,0.149675,0.610758,0.852,0.0140845,0.657692,
360,18,0.222321,0.386489,0.738036,0.876,0.0319635,0.323892,
360,19,0.902598,0.44995,0.543065,0.92,0.0304348,0.42682,
380,0,0.592845,0.844266,0.444504,0.872,0.0642202,0.544419,
380,1,0.857946,0.847252,-1.02218e+75,0.908,0,0.382113,
380,2,0.623564,0.384382,0.65824,0.916,0.0174672,0.638292,
380,3,0.297535,0.056713,0.660454,0.908,0.00881057,0.588274,
380,4,0.272656,0.477665,0.490476,0.892,0.0403587,0.311938,
380,5,0.812169,0.479977,0.558227,0.908,0.0176211,0.448219,
380,6,0.392785,0.836079,0.543587,0.888,0.0630631,0.498376,
380,7,0.337396,0.648172,0.619673,0.88,0.118182,0.419404,
380,8,0.368242,0.957155,0.465257,0.892,0.0179372,0.429147,
380,9,0.140351,0.870087,0.644258,0.884,0.00452489,0.249344,
380,10,0.473608,0.800911,0.522514,0.86,0.0697674,0.570904,
380,11,0.520477,0.67888,0.418493,0.908,0.0396476,0.462527,
380,12,0.720633,0.58202,0.868751,0.92,0.0434783,0.442209,
