generation,population1,population2,ld,f_st
100,3,19,0.0090975,0.121592
100,4,5,0.00911696,0.119962
100,4,6,0.00677499,0.0844768
100,4,7,0.00590619,0.0632602
100,4,8,0.00748469,0.0963961
100,4,9,0.00887573,0.120225
100,4,10,0.00729351,0.0921854
100,4,11,0.00613628,0.0742406
100,4,12,0.00750308,0.0982088
100,4,13,0.00724462,0.0931466
100,4,14,0.00669546,0.0747991
100,4,15,0.00776691,0.102489
100,4,16,0.00836038,0.10755
100,4,17,0.00808251,0.106515
100,4,18,0.00600989,0.0648642
100,4,19,0.00950949,0.121852
100,5,6,0.00592016,0.0796613
100,5,7,0.00613937,0.087491
100,5,8,0.0064722,0.0899694
100,5,9,0.00744503,0.10381
100,5,10,0.00638853,0.0906373
100,5,11,0.0061234,0.0830602
100,5,12,0.00455905,0.0426633
100,5,13,0.00614784,0.083921
100,5,14,0.00822319,0.109106
100,5,15,0.00638966,0.0897308
100,5,16,0.00782755,0.11017
100,5,17,0.00740703,0.103821
100,5,18,0.00878518,0.116945
100,5,19,0.00636133,0.0826563
100,6,7,0.00430738,0.0354936
100,6,8,0.00494309,0.0544636
100,6,9,0.00609913,0.0737548
100,6,10,0.00461058,0.0449329
100,6,11,0.00474367,0.0473128
100,6,12,0.00526824,0.0667032
100,6,13,0.00498783,0.0524046
100,6,14,0.00687214,0.095115
100,6,15,0.0049356,0.0518301
100,6,16,0.00665084,0.0925544
100,6,17,0.00584298,0.0796205
100,6,18,0.00711219,0.0946308
100,6,19,0.00696469,0.0989887
100,7,8,0.00476282,0.0548427
100,7,9,0.00586253,0.0758107
100,7,10,0.00451237,0.0490841
100,7,11,0.00448092,0.0461227
100,7,12,0.00502363,0.0655062
100,7,13,0.00478671,0.0531873
100,7,14,0.00693061,0.0950781
100,7,15,0.00486961,0.0568601
100,7,16,0.00680185,0.0968301
100,7,17,0.00593311,0.0832974
100,7,18,0.0067064,0.0896612
100,7,19,0.00671513,0.0925553
100,8,9,0.00655427,0.0782497
100,8,10,0.00514882,0.0558212
100,8,11,0.00536355,0.0691656
100,8,12,0.0059195,0.077369
100,8,13,0.00530989,0.0661578
100,8,14,0.00832934,0.111984
100,8,15,0.00560414,0.0711993
100,8,16,0.00743551,0.105893
100,8,17,0.00713285,0.104645
100,8,18,0.00878212,0.119235
100,8,19,0.00719078,0.0975505
100,9,10,0.00753263,0.106117
100,9,11,0.00632806,0.0854394
100,9,12,0.00660444,0.0901835
100,9,13,0.00727333,0.100395
100,9,14,0.00868184,0.119354
100,9,15,0.00508124,0.0519408
100,9,16,0.00878855,0.122808
100,9,17,0.00750081,0.105564
100,9,18,0.00828803,0.107351
100,9,19,0.00837902,0.116
100,10,11,0.00448445,0.0433478
100,10,12,0.00574154,0.0784324
100,10,13,0.00459344,0.0469299
100,10,14,0.0073143,0.102106
100,10,15,0.00589236,0.0869639
100,10,16,0.00757223,0.107005
100,10,17,0.00671716,0.098997
100,10,18,0.00829993,0.114113
100,10,19,0.00715206,0.0990151
100,11,12,0.00531362,0.0652147
100,11,13,0.00447707,0.0397424
100,11,14,0.0067697,0.0926476
100,11,15,0.00568508,0.0808263
100,11,16,0.00660455,0.0907283
100,11,17,0.0062517,0.0884063
100,11,18,0.00674255,0.0883229
100,11,19,0.00751046,0.106704
100,12,13,0.00525341,0.062063
100,12,14,0.00785342,0.110543
100,12,15,0.00577042,0.0811773
100,12,16,0.00719531,0.100646
100,12,17,0.00682846,0.0973996
100,12,18,0.00796572,0.107481
100,12,19,0.0054698,0.0645208
100,13,14,0.00826942,0.11638
100,13,15,0.00679765,0.103534
100,13,16,0.00762307,0.104691
100,13,17,0.00734493,0.105407
100,13,18,0.00839052,0.11555
100,13,19,0.00710176,0.0986558
100,14,15,0.00640787,0.0823746
100,14,16,0.00751417,0.107078
100,14,17,0.00694317,0.0956453
100,14,18,0.00604469,0.0720326
100,14,19,0.00916161,0.122213
100,15,16,0.00739974,0.106779
100,15,17,0.00639747,0.0914109
100,15,18,0.00693768,0.0963909
100,15,19,0.00792577,0.111875
100,16,17,0.00512622,0.0610085
100,16,18,0.00805705,0.111864
100,16,19,0.00916985,0.129169
100,17,18,0.00739491,0.100262
100,17,19,0.00881934,0.123244
100,18,19,0.0101841,0.133103
200,0,1,0.0161934,0.167114
200,0,2,0.0107678,0.135897
200,0,3,0.0112978,0.142122
200,0,4,0.00795113,0.107358
200,0,5,0.00767939,0.106229
200,0,6,0.00458752,0.0402561
200,0,7,0.00492398,0.0486934
200,0,8,0.00421734,0.0398914
200,0,9,0.00680938,0.0942633
200,0,10,0.00434731,0.0393145
200,0,11,0.00445256,0.0422481
200,0,12,0.00601621,0.0785161
200,0,13,0.00447191,0.0368736
200,0,14,0.0112449,0.13713
200,0,15,0.00589281,0.0746105
200,0,16,0.00906623,0.125561
200,0,17,0.0090458,0.121726
200,0,18,0.0113071,0.142909
200,0,19,0.00880132,0.111455
200,1,2,0.0231537,0.210594
200,1,3,0.0193401,0.189968
200,1,4,0.0189602,0.189071
200,1,5,0.0180876,0.182552
200,1,6,0.0160442,0.167809
200,1,7,0.0163918,0.16007
200,1,8,0.0173585,0.17533
200,1,9,0.0155795,0.161836
200,1,10,0.0176941,0.182741
200,1,11,0.0182081,0.187102
200,1,12,0.0175256,0.18092
200,1,13,0.0163316,0.166438
200,1,14,0.018787,0.182187
200,1,15,0.0160468,0.160675
200,1,16,0.0181139,0.184309
200,1,17,0.0187193,0.185632
200,1,18,0.0200605,0.197792
200,1,19,0.0196609,0.190281
200,2,3,0.0158877,0.182087
200,2,4,0.0141515,0.166699
200,2,5,0.00532594,0.0543394
200,2,6,0.0101084,0.128939
200,2,7,0.00971016,0.120687
200,2,8,0.0102126,0.129736
200,2,9,0.0115128,0.145527
200,2,10,0.00891336,0.118409
200,2,11,0.00877648,0.110512
200,2,12,0.00504974,0.0560459
200,2,13,0.00839712,0.104026
200,2,14,0.0155676,0.17075
200,2,15,0.0101466,0.131633
200,2,16,0.0125408,0.155653
200,2,17,0.0127848,0.159793
200,2,18,0.016144,0.186164
200,2,19,0.00829192,0.104454
200,3,4,0.0130166,0.156988
200,3,5,0.0110037,0.138904
200,3,6,0.010065,0.130869
200,3,7,0.0102741,0.130211
200,3,8,0.011463,0.142706
200,3,9,0.012493,0.161461
200,3,10,0.0103478,0.132612
200,3,11,0.01169,0.150628
200,3,12,0.010772,0.136886
200,3,13,0.010335,0.132652
200,3,14,0.0131476,0.161238
200,3,15,0.0113093,0.141437
200,3,16,0.0050934,0.0533453
200,3,17,0.00584907,0.0617354
200,3,18,0.0119999,0.146324
200,3,19,0.0132802,0.153668
200,4,5,0.0107502,0.145849
200,4,6,0.00620362,0.0860759
200,4,7,0.00558579,0.0566768
200,4,8,0.00711112,0.0963062
200,4,9,0.00727141,0.100539
200,4,10,0.00719107,0.0999729
200,4,11,0.00618516,0.0851313
200,4,12,0.00949906,0.128999
200,4,13,0.00723832,0.0954329
200,4,14,0.00531235,0.0575102
200,4,15,0.00600821,0.0803164
200,4,16,0.00809351,0.107728
200,4,17,0.00795912,0.107732
200,4,18,0.0052705,0.0591206
200,4,19,0.0109047,0.140019
200,5,6,0.00747924,0.105502
200,5,7,0.00744216,0.101569
200,5,8,0.0081768,0.112502
200,5,9,0.00972946,0.136034
200,5,10,0.00713802,0.100758
200,5,11,0.00677296,0.0967106
200,5,12,0.00414004,0.0401525
